employee_id,snapshot_record_year,date_hired,date_terminated,age,years_employed,job_title,gender,status_year,employee_status
1318,2006-12-31,1989-08-28,,52,17,CEO,M,2006,ACTIVE
1318,2007-12-31,1989-08-28,,53,18,CEO,M,2007,ACTIVE
1318,2008-12-31,1989-08-28,,54,19,CEO,M,2008,ACTIVE
1318,2009-12-31,1989-08-28,,55,20,CEO,M,2009,ACTIVE
1318,2010-12-31,1989-08-28,,56,21,CEO,M,2010,ACTIVE
1318,2011-12-31,1989-08-28,,57,22,CEO,M,2011,ACTIVE
1318,2012-12-31,1989-08-28,,58,23,CEO,M,2012,ACTIVE
1318,2013-12-31,1989-08-28,,59,24,CEO,M,2013,ACTIVE
1318,2014-12-31,1989-08-28,,60,25,CEO,M,2014,ACTIVE
1318,2015-12-31,1989-08-28,,61,26,CEO,M,2015,ACTIVE
1319,2006-12-31,1989-08-28,,49,17,VP Stores,F,2006,ACTIVE
1319,2007-12-31,1989-08-28,,50,18,VP Stores,F,2007,ACTIVE
1319,2008-12-31,1989-08-28,,51,19,VP Stores,F,2008,ACTIVE
1319,2009-12-31,1989-08-28,,52,20,VP Stores,F,2009,ACTIVE
1319,2010-12-31,1989-08-28,,53,21,VP Stores,F,2010,ACTIVE
1319,2011-12-31,1989-08-28,,54,22,VP Stores,F,2011,ACTIVE
1319,2012-12-31,1989-08-28,,55,23,VP Stores,F,2012,ACTIVE
1319,2013-12-31,1989-08-28,,56,24,VP Stores,F,2013,ACTIVE
1319,2014-12-31,1989-08-28,,57,25,VP Stores,F,2014,ACTIVE
1319,2015-12-31,1989-08-28,,58,26,VP Stores,F,2015,ACTIVE
1320,2006-12-31,1989-08-28,,51,17,Legal Counsel,F,2006,ACTIVE
1320,2007-12-31,1989-08-28,,52,18,Legal Counsel,F,2007,ACTIVE
1320,2008-12-31,1989-08-28,,53,19,Legal Counsel,F,2008,ACTIVE
1320,2009-12-31,1989-08-28,,54,20,Legal Counsel,F,2009,ACTIVE
1320,2010-12-31,1989-08-28,,55,21,Legal Counsel,F,2010,ACTIVE
1320,2011-12-31,1989-08-28,,56,22,Legal Counsel,F,2011,ACTIVE
1320,2012-12-31,1989-08-28,,57,23,Legal Counsel,F,2012,ACTIVE
1320,2013-12-31,1989-08-28,,58,24,Legal Counsel,F,2013,ACTIVE
1320,2014-12-31,1989-08-28,,59,25,Legal Counsel,F,2014,ACTIVE
1320,2015-12-31,1989-08-28,,60,26,Legal Counsel,F,2015,ACTIVE
1321,2006-12-31,1989-08-28,,47,17,VP Human Resources,M,2006,ACTIVE
1321,2007-12-31,1989-08-28,,48,18,VP Human Resources,M,2007,ACTIVE
1321,2008-12-31,1989-08-28,,49,19,VP Human Resources,M,2008,ACTIVE
1321,2009-12-31,1989-08-28,,50,20,VP Human Resources,M,2009,ACTIVE
1321,2010-12-31,1989-08-28,,51,21,VP Human Resources,M,2010,ACTIVE
1321,2011-12-31,1989-08-28,,52,22,VP Human Resources,M,2011,ACTIVE
1321,2012-12-31,1989-08-28,,53,23,VP Human Resources,M,2012,ACTIVE
1321,2013-12-31,1989-08-28,,54,24,VP Human Resources,M,2013,ACTIVE
1321,2014-12-31,1989-08-28,,55,25,VP Human Resources,M,2014,ACTIVE
1321,2015-12-31,1989-08-28,,56,26,VP Human Resources,M,2015,ACTIVE
1322,2006-12-31,1989-08-31,,48,17,VP Finance,M,2006,ACTIVE
1322,2007-12-31,1989-08-31,,49,18,VP Finance,M,2007,ACTIVE
1322,2008-12-31,1989-08-31,,50,19,VP Finance,M,2008,ACTIVE
1322,2009-12-31,1989-08-31,,51,20,VP Finance,M,2009,ACTIVE
1322,2010-12-31,1989-08-31,,52,21,VP Finance,M,2010,ACTIVE
1322,2011-12-31,1989-08-31,,53,22,VP Finance,M,2011,ACTIVE
1322,2012-12-31,1989-08-31,,54,23,VP Finance,M,2012,ACTIVE
1322,2013-12-31,1989-08-31,,55,24,VP Finance,M,2013,ACTIVE
1322,2014-12-31,1989-08-31,,56,25,VP Finance,M,2014,ACTIVE
1322,2015-12-31,1989-08-31,,57,26,VP Finance,M,2015,ACTIVE
1323,2006-12-31,1989-08-31,,44,17,"Exec Assistant, VP Stores",M,2006,ACTIVE
1323,2007-12-31,1989-08-31,,45,18,"Exec Assistant, VP Stores",M,2007,ACTIVE
1323,2008-12-31,1989-08-31,,46,19,"Exec Assistant, VP Stores",M,2008,ACTIVE
